ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJ-3wY7lEYQjERrJ9wTeoa-WQ,Blue Summer Hotel,"35 Tôn Thất Đạm, Xuân Hà, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0720623,108.2013925,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",3.9,42
ChIJ-UBpozMYQjERDV3V1nrXEiM,Vinapha 2 Hotel,"19 Phạm Hồng Thái, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0673508,108.2217765,"['Monday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Tuesday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Wednesday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Thursday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Friday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Saturday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Sunday: 12:00\u202fAM\u2009–\u200911:59\u202fPM']","['lodging', 'point_of_interest', 'establishment']",3,93
ChIJ13MshlIYQjERM4sqFu8lvyA,Ribo Coffee,"05 Thái Thị Bôi, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0682715,108.2011952,"['Monday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u200910:30\u202fPM']","['cafe', 'food', 'point_of_interest', 'establishment']",4.1,306
ChIJ14kOf8kZQjERrdrrQPpiZKA,Mì Quảng Thi,"251 Hoàng Diệu, Nam Dương, Hải Châu, Đà Nẵng 550000, Vietnam",16.0585457,108.2172243,"['Monday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM']","['restaurant', 'point_of_interest', 'food', 'establishment']",4.3,308
ChIJ2aT3UqMXQjER_rVaqCoyyWU,Chùa Linh Ứng,"Vườn Lâm Tỳ Ni, Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.1002615,108.2777474,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['place_of_worship', 'point_of_interest', 'establishment']",4.7,1785
ChIJ2beCscEZQjER1eMQXxVlJZg,Mì Quảng Giao Thủy,"20 Lê Thanh Nghị, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",16.0436901,108.2173205,"['Monday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20099:00\u202fPM']","['restaurant', 'food', 'point_of_interest', 'establishment']",4,102
ChIJ2eRrZDIYQjERIDh0k-METDk,Hoang Linh Hotel,"142 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0671793,108.2247516,,"['lodging', 'point_of_interest', 'establishment']",3.7,174
ChIJ2y5L4dQNQjERxeSLc68fbrw,The Marble Mountains,"81 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",16.0034756,108.2645803,"['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20095:00\u202fPM']","['tourist_attraction', 'point_of_interest', 'establishment']",4.3,20715
ChIJ4TzoziwYQjER8Wp_tOG1pYA,DHC Marina,"367H+PW4, Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Vietnam",16.0642548,108.2298186,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['tourist_attraction', 'point_of_interest', 'establishment']",4.1,171
ChIJ4w7694IXQjERrFXucqKL--o,My Khe Beach,"My Khe Beach, 550000, Vietnam",16.0616944,108.2469346,,"['natural_feature', 'establishment']",4.6,1831
