ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJLWoAs80ZQjERLKHDYD-ZymI,Da Nang Museum of Cham Sculpture,"Số 02 Đ. 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.0603007,108.2232677,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20095:00\u202fPM']","['tourist_attraction', 'museum', 'general_contractor', 'point_of_interest', 'establishment']",4.1,5245
ChIJo8fznMYZQjERNtNTUT-ZJyk,Ho Chi Minh Museum,"26X9+F2G, Duy Tân, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",16.0486814,108.217581,"['Monday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20094:30\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20094:30\u202fPM']","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.2,926
ChIJGculbbQZQjERPy4RPlUVE7U,DNTN TÂN TÂN,"3665+CHP, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0610803,108.2089665,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 12:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']","['museum', 'point_of_interest', 'establishment']",4.1,10
ChIJe2cS58sZQjERsoY0bBnpamQ,Quang pham,"Unnamed Road, 3686+CQP, Vĩnh Trung, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0660974,108.2119598,,"['museum', 'point_of_interest', 'establishment']",,
ChIJryK9CsYZQjER6koOrrTbu5g,Nhà sàn Bác Hồ,"26W8+VXV, Hòa Cường, Hải Châu, Đà Nẵng 550000, Vietnam",16.0472421,108.2174295,,"['museum', 'point_of_interest', 'establishment']",5,1
ChIJP888WE0YQjERUVCfDotmpjA,Nhà Thờ Tin Lành,"3682+HWJ, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.066454,108.202275,,"['museum', 'point_of_interest', 'establishment']",5,2
ChIJMTJR2MsZQjERj9KA5AM9JAA,PNT International Airport,"21, 20 Lê Hồng Phong, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0633724,108.2215429,"['Monday: 8:30\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20094:30\u202fPM, 6:30\u2009–\u20099:30\u202fPM', 'Tuesday: 8:30\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20094:30\u202fPM, 6:30\u2009–\u20099:30\u202fPM', 'Wednesday: 8:30\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20094:30\u202fPM, 6:30\u2009–\u20099:30\u202fPM', 'Thursday: 8:30\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20094:30\u202fPM, 6:30\u2009–\u20099:30\u202fPM', 'Friday: 8:30\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20094:30\u202fPM, 6:30\u2009–\u20099:30\u202fPM', 'Saturday: 8:30\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20094:30\u202fPM, 6:30\u2009–\u20099:30\u202fPM', 'Sunday: 8:30\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20094:30\u202fPM, 6:30\u2009–\u20099:30\u202fPM']","['museum', 'point_of_interest', 'establishment']",5,92
ChIJgdDxDDYYQjERl3mItotrTq4,Bảo Tàng Lịch sử Đà Nẵng,"78, Lê Duẩn, Phường Thạch Thang, Thạch Thang, Hải Châu, Đà Nẵng 550000, Vietnam",16.0706791,108.2153696,,"['museum', 'point_of_interest', 'establishment']",,
ChIJ78thjjYYQjERkiy-c9ebVPE,Danang Fine Arts Museum,"78 Đ. Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng 550000, Vietnam",16.0712986,108.2177249,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.4,621
ChIJGbzqh_YZQjERwzj9AqNgnEM,Chùa Xuân Hòa,"Xuan Ha, Thanh Khê District, Da Nang 550000, Vietnam",16.0686057,108.192376,,"['museum', 'point_of_interest', 'establishment']",5,2
