popular_size,mutation_rates,distances
10,0.001,7178.4881953434
10,0.002,7476.75796545005
10,0.005,7758.68043432385
10,0.006,7360.77407774877
10,0.007,7384.43789724134
10,0.01,7595.64365264017
10,0.05,7420.30918085416
10,0.1,7771.43758037192
10,0.15,7301.12858369899
10,0.2,7516.01476977715
10,0.25,7792.0135614828
10,0.3,7352.3613588365
10,0.35,7357.86094933646
10,0.4,7347.42762576174
10,0.45,7902.90647770329
10,0.5,7935.22589119111
10,0.55,7474.7334725712
10,0.6,7953.18084560033
10,0.65,7963.84965363327
10,0.7,8109.56647687433
10,0.75,7369.44599280961
10,0.8,7509.41166205335
10,0.85,7140.52801991869
15,0.001,7657.79539063874
15,0.002,7287.25044180272
15,0.005,7497.01610907479
15,0.006,7453.21058688651
15,0.007,7189.4113346214
15,0.01,7343.0035720337
15,0.05,7657.68365369044
15,0.1,7368.85108563814
15,0.15,7254.18592527866
15,0.2,7694.77986796074
15,0.25,7376.26913925649
15,0.3,7666.62043618298
15,0.35,7196.72441641904
15,0.4,7461.5513561595
15,0.45,7717.32895287986
15,0.5,7675.92567310996
15,0.55,7562.86341551596
15,0.6,7406.05454441082
15,0.65,7185.44063783331
15,0.7,7477.72072496871
15,0.75,7379.0125429274
15,0.8,7491.56111927493
15,0.85,7639.69298495833
20,0.001,7206.9819141305
20,0.002,7181.22887434219
20,0.005,7243.12963281731
20,0.006,7136.00513058769
20,0.007,7041.72626728043
20,0.01,7537.93582175553
20,0.05,7338.21422605088
20,0.1,7033.87467596486
20,0.15,7133.23516365106
20,0.2,7354.30050278487
20,0.25,7281.5653497166
20,0.3,7285.64013254274
20,0.35,7382.41799899962
20,0.4,7120.12230304742
20,0.45,7472.97229587048
20,0.5,7669.70362227973
20,0.55,7212.40868040985
20,0.6,7382.41764371017
20,0.65,7548.28895727842
20,0.7,7447.48146326236
20,0.75,7127.48499577383
20,0.8,7260.38811816422
20,0.85,7565.92296685613
30,0.001,7189.4113346214
30,0.002,7186.64826418243
30,0.005,7380.51583173305
30,0.006,7328.11086114796
30,0.007,7141.10238238698
30,0.01,7088.39392866907
30,0.05,7185.36925490068
30,0.1,7041.72626728043
30,0.15,7430.91677371642
30,0.2,7419.77611222877
30,0.25,7212.40868040984
30,0.3,7153.5464283107
30,0.35,7234.22853281801
30,0.4,7148.35499548142
30,0.45,7183.34194748628
30,0.5,7268.76940734951
30,0.55,7283.74138650918
30,0.6,7242.97690790387
30,0.65,7101.41233706108
30,0.7,7428.05945665493
30,0.75,7332.30779393138
30,0.8,7467.340394008
30,0.85,7444.08227525506
40,0.001,7142.94411465633
40,0.002,7133.23516365106
40,0.005,7104.18230399772
40,0.006,7065.69750255483
40,0.007,7264.77013283515
40,0.01,7149.40604775221
40,0.05,7245.12944070529
40,0.1,7174.20421825871
40,0.15,7088.1778115224
40,0.2,7096.27645326768
40,0.25,7010.50749076313
40,0.3,7031.37749047071
40,0.35,7263.33070596315
40,0.4,7195.07421796629
40,0.45,7195.07421796629
40,0.5,7238.18143280334
40,0.55,7368.8323341371
40,0.6,7141.10238238698
40,0.65,7096.27645326768
40,0.7,7382.93823813364
40,0.75,7188.42672191661
40,0.8,7457.51426624137
40,0.85,7185.85088806981
50,0.001,7266.6697427775
50,0.002,7206.59625235543
50,0.005,7021.43063004113
50,0.006,7410.70008716108
50,0.007,7096.27645326768
50,0.01,7186.88617360674
50,0.05,7281.54754568651
50,0.1,7065.69750255483
50,0.15,7274.39473717831
50,0.2,7196.72441641904
50,0.25,7266.6697427775
50,0.3,7140.52801991869
50,0.35,7305.20531636082
50,0.4,7075.4064535601
50,0.45,7174.20421825871
50,0.5,7311.2047359356
50,0.55,7273.19608661901
50,0.6,7130.17924310897
50,0.65,7378.46185684317
50,0.7,7031.37749047071
50,0.75,7041.72626728043
50,0.8,7359.53619319713
50,0.85,7558.97508572526
70,0.001,7162.14067914852
70,0.002,7042.30062974872
70,0.005,7042.30062974872
70,0.006,7054.74467567244
70,0.007,7041.72626728043
70,0.01,7010.50749076312
70,0.05,7185.44063783331
70,0.1,7151.91544203301
70,0.15,7138.5007125043
70,0.2,7151.91544203301
70,0.25,7088.1778115224
70,0.3,7086.56750226241
70,0.35,7010.50749076312
70,0.4,7075.4064535601
70,0.45,7096.27645326768
70,0.5,7127.48499577383
70,0.55,7263.47159790031
70,0.6,7091.1638956057
70,0.65,7120.12230304742
70,0.7,7065.69750255483
70,0.75,7101.41233706108
70,0.8,7127.48499577383
70,0.85,7190.93782534746
80,0.001,7075.4064535601
80,0.002,7163.92090478515
80,0.005,7021.43063004113
80,0.006,7162.14067914852
80,0.007,7042.30062974872
80,0.01,7163.92090478515
80,0.05,7091.1638956057
80,0.1,7075.4064535601
80,0.15,7184.79090449273
80,0.2,7153.5464283107
80,0.25,7020.85626757284
80,0.3,7216.69086513577
80,0.35,7042.30062974872
80,0.4,7162.14067914852
80,0.45,7362.80138516316
80,0.5,7085.40784458576
80,0.55,7065.69750255483
80,0.6,7010.50749076312
80,0.65,7010.50749076312
80,0.7,7010.50749076313
80,0.75,7151.91544203301
80,0.8,7284.48047486608
80,0.85,7033.87467596486
100,0.001,7120.12230304742
100,0.002,7020.85626757284
100,0.005,7096.27645326768
100,0.006,7021.43063004113
100,0.007,7101.41233706108
100,0.01,7033.87467596486
100,0.05,7010.50749076313
100,0.1,7088.1778115224
100,0.15,7010.50749076312
100,0.2,7010.50749076312
100,0.25,7149.40604775221
100,0.3,7031.37749047071
100,0.35,7031.37749047071
100,0.4,7075.4064535601
100,0.45,7195.07820590595
100,0.5,7088.1778115224
100,0.55,7020.85626757284
100,0.6,7274.39473717831
100,0.65,7020.85626757284
100,0.7,7031.37749047071
100,0.75,7101.41233706108
100,0.8,7065.69750255483
100,0.85,7338.86319147521
110,0.001,7010.50749076313
110,0.002,7010.50749076313
110,0.005,7010.50749076313
110,0.006,7104.18230399772
110,0.007,7133.23516365106
110,0.01,7010.50749076312
110,0.05,7041.72626728043
110,0.1,7065.69750255483
110,0.15,7041.72626728043
110,0.2,7085.40784458576
110,0.25,7010.50749076312
110,0.3,7010.50749076312
110,0.35,7075.4064535601
110,0.4,7042.30062974872
110,0.45,7086.56750226241
110,0.5,7041.72626728043
110,0.55,7145.71408159296
110,0.6,7041.72626728043
110,0.65,7096.27645326768
110,0.7,7033.87467596486
110,0.75,7091.1638956057
110,0.8,7141.10238238698
110,0.85,7782.90943685246
120,0.001,7033.87467596486
120,0.002,7033.87467596486
120,0.005,7021.43063004113
120,0.006,7086.56750226241
120,0.007,7020.85626757284
120,0.01,7020.85626757284
120,0.05,7010.50749076312
120,0.1,7075.4064535601
120,0.15,7086.56750226241
120,0.2,7020.85626757284
120,0.25,7020.85626757284
120,0.3,7042.30062974872
120,0.35,7010.50749076313
120,0.4,7088.1778115224
120,0.45,7041.72626728043
120,0.5,7175.15908754053
120,0.55,7209.2967216242
120,0.6,7120.12230304742
120,0.65,7101.41233706108
120,0.7,7195.07820590595
120,0.75,7348.21899535486
120,0.8,7091.1638956057
120,0.85,7130.17924310897
150,0.001,7010.50749076313
150,0.002,7010.50749076313
150,0.005,7010.50749076312
150,0.006,7033.87467596486
150,0.007,7010.50749076312
150,0.01,7010.50749076312
150,0.05,7021.43063004113
150,0.1,7020.85626757284
150,0.15,7010.50749076313
150,0.2,7042.30062974872
150,0.25,7010.50749076312
150,0.3,7088.39392866907
150,0.35,7054.74467567244
150,0.4,7065.69750255483
150,0.45,7065.69750255483
150,0.5,7020.85626757284
150,0.55,7042.30062974872
150,0.6,7088.1778115224
150,0.65,7010.50749076313
150,0.7,7075.4064535601
150,0.75,7031.37749047071
150,0.8,7127.48499577383
150,0.85,7041.72626728043
170,0.001,7010.50749076313
170,0.002,7054.74467567244
170,0.005,7020.85626757284
170,0.006,7086.56750226241
170,0.007,7021.43063004113
170,0.01,7021.43063004113
170,0.05,7010.50749076312
170,0.1,7085.40784458576
170,0.15,7031.37749047071
170,0.2,7010.50749076312
170,0.25,7091.1638956057
170,0.3,7042.30062974872
170,0.35,7033.87467596486
170,0.4,7031.37749047071
170,0.45,7033.87467596486
170,0.5,7088.39392866907
170,0.55,7020.85626757284
170,0.6,7020.85626757284
170,0.65,7054.74467567244
170,0.7,7104.18230399772
170,0.75,7130.17924310897
170,0.8,7086.56750226241
170,0.85,7190.93782534746
200,0.001,7010.50749076312
200,0.002,7021.43063004113
200,0.005,7010.50749076313
200,0.006,7085.40784458576
200,0.007,7031.37749047071
200,0.01,7031.37749047071
200,0.05,7054.74467567244
200,0.1,7010.50749076313
200,0.15,7031.37749047071
200,0.2,7020.85626757284
200,0.25,7010.50749076313
200,0.3,7020.85626757284
200,0.35,7021.43063004113
200,0.4,7010.50749076312
200,0.45,7031.37749047071
200,0.5,7020.85626757284
200,0.55,7010.50749076313
200,0.6,7101.41233706108
200,0.65,7031.37749047071
200,0.7,7065.69750255483
200,0.75,7166.01617389916
200,0.8,7075.4064535601
200,0.85,7020.85626757284
210,0.001,7020.85626757284
210,0.002,7065.69750255483
210,0.005,7020.85626757284
210,0.006,7021.43063004113
210,0.007,7020.85626757284
210,0.01,7031.37749047071
210,0.05,7010.50749076313
210,0.1,7021.43063004113
210,0.15,7020.85626757284
210,0.2,7010.50749076312
210,0.25,7020.85626757284
210,0.3,7020.85626757284
210,0.35,7020.85626757284
