popular_size,mutation_rates,distances
330,0.001,7020.856267572843
330,0.002,7021.430630041132
330,0.005,7010.507490763124
330,0.006,7010.507490763124
330,0.007,7033.8746759648575
330,0.01,7010.507490763124
330,0.05,7021.430630041133
330,0.1,7010.507490763124
330,0.15,7020.856267572843
330,0.2,7031.37749047071
330,0.25,7010.507490763126
330,0.3,7031.377490470711
330,0.35,7010.507490763126
330,0.4,7020.856267572843
330,0.45,7031.377490470711
330,0.5,7010.507490763124
330,0.55,7054.744675672442
330,0.6,7031.37749047071
330,0.65,7010.507490763124
330,0.7,7021.430630041132
330,0.75,7010.507490763126
330,0.8,7031.377490470711
330,0.85,7033.874675964857
340,0.001,7021.430630041132
340,0.002,7010.507490763124
340,0.005,7010.507490763124
340,0.006,7010.507490763124
340,0.007,7010.507490763124
340,0.01,7010.507490763124
340,0.05,7010.507490763126
340,0.1,7020.856267572843
340,0.15,7010.507490763124
340,0.2,7010.507490763126
340,0.25,7010.507490763126
340,0.3,7010.507490763124
340,0.35,7020.856267572843
340,0.4,7010.507490763126
340,0.45,7020.856267572843
340,0.5,7020.856267572843
340,0.55,7010.507490763126
340,0.6,7010.507490763124
340,0.65,7020.856267572843
340,0.7,7010.507490763124
340,0.75,7031.37749047071
340,0.8,7010.507490763124
340,0.85,7021.430630041133
360,0.001,7010.507490763124
360,0.002,7010.507490763126
360,0.005,7010.507490763126
360,0.006,7021.430630041132
360,0.007,7020.856267572843
360,0.01,7021.430630041132
360,0.05,7031.37749047071
360,0.1,7031.37749047071
360,0.15,7010.507490763124
360,0.2,7020.856267572843
360,0.25,7031.377490470711
360,0.3,7020.856267572843
360,0.35,7021.430630041132
360,0.4,7010.507490763124
360,0.45,7020.856267572843
360,0.5,7031.37749047071
360,0.55,7010.507490763124
360,0.6,7010.507490763124
360,0.65,7021.430630041133
360,0.7,7031.377490470711
360,0.75,7010.507490763126
360,0.8,7473.32647552148
360,0.85,7523.555856503335
380,0.001,7033.874675964857
380,0.002,7042.300629748715
380,0.005,7020.856267572843
380,0.006,7010.507490763124
380,0.007,7020.856267572843
380,0.01,7010.507490763124
380,0.05,7010.507490763124
380,0.1,7021.430630041133
380,0.15,7010.507490763124
380,0.2,7010.507490763124
380,0.25,7010.507490763124
380,0.3,7010.507490763124
380,0.35,7010.507490763126
380,0.4,7020.856267572843
380,0.45,7020.856267572843
380,0.5,7010.507490763126
380,0.55,7010.507490763126
380,0.6,7010.507490763126
380,0.65,7104.182303997717
380,0.7,7020.856267572843
380,0.75,7010.507490763124
380,0.8,7020.856267572843
380,0.85,7243.129632817313
390,0.001,7031.37749047071
390,0.002,7010.507490763126
390,0.005,7010.507490763126
390,0.006,7010.507490763124
390,0.007,7010.507490763124
390,0.01,7020.856267572843
390,0.05,7020.856267572843
390,0.1,7010.507490763126
390,0.15,7010.507490763126
390,0.2,7010.507490763124
390,0.25,7010.507490763124
390,0.3,7010.507490763126
390,0.35,7020.856267572843
390,0.4,7010.507490763124
390,0.45,7010.507490763126
390,0.5,7010.507490763124
390,0.55,7010.507490763124
390,0.6,7010.507490763126
390,0.65,7010.507490763126
390,0.7,7010.507490763124
390,0.75,7010.507490763126
390,0.8,7244.201819395435
390,0.85,7010.507490763124
410,0.001,7020.856267572843
410,0.002,7020.856267572843
410,0.005,7010.507490763124
410,0.006,7010.507490763124
410,0.007,7010.507490763126
410,0.01,7010.507490763126
410,0.05,7010.507490763126
410,0.1,7010.507490763124
410,0.15,7010.507490763124
410,0.2,7010.507490763124
410,0.25,7010.507490763126
410,0.3,7020.856267572843
410,0.35,7010.507490763126
410,0.4,7010.507490763126
410,0.45,7010.507490763124
410,0.5,7031.377490470711
410,0.55,7021.430630041132
410,0.6,7010.507490763124
410,0.65,7033.8746759648575
410,0.7,7031.37749047071
410,0.75,7010.507490763124
410,0.8,7021.430630041133
410,0.85,7010.507490763124
420,0.001,7010.507490763124
420,0.002,7020.856267572843
420,0.005,7010.507490763124
420,0.006,7010.507490763124
420,0.007,7010.507490763124
420,0.01,7010.507490763124
420,0.05,7010.507490763124
