ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJLWoAs80ZQjERLKHDYD-ZymI,Da Nang Museum of Cham Sculpture,"Số 02 Đ. 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.0603007,108.2232677,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20095:00\u202fPM']","['tourist_attraction', 'museum', 'general_contractor', 'point_of_interest', 'establishment']",4.1,5217
ChIJ78thjjYYQjERkiy-c9ebVPE,Danang Fine Arts Museum,"78 Đ. Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng 550000, Vietnam",16.0712986,108.2177249,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.4,621
ChIJvZY1wtkZQjERtyMrmndV1xk,Nguyen Van Troi Bridge,"Nguyễn Văn Trỗi Bridge, Đà Nẵng 550000, Vietnam",16.0503877,108.2299175,,['route'],,
ChIJ2aT3UqMXQjER_rVaqCoyyWU,Chùa Linh Ứng,"Vườn Lâm Tỳ Ni, Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.1002615,108.2777474,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['place_of_worship', 'point_of_interest', 'establishment']",4.7,1785
ChIJF8yRoecZQjERdDBeBdSRD-Y,Asia Park - Sun World Da Nang Wonders,"1 Phan Đăng Lưu, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Vietnam",16.0383924,108.2266751,"['Monday: 3:00\u2009–\u200910:00\u202fPM', 'Tuesday: 3:00\u2009–\u200910:00\u202fPM', 'Wednesday: 3:00\u2009–\u200910:00\u202fPM', 'Thursday: 3:00\u2009–\u200910:00\u202fPM', 'Friday: 3:00\u2009–\u200910:00\u202fPM', 'Saturday: 3:00\u2009–\u200910:00\u202fPM', 'Sunday: 3:00\u2009–\u200910:00\u202fPM']","['tourist_attraction', 'amusement_park', 'park', 'point_of_interest', 'establishment']",4.4,8452
ChIJ7WTP810XQjERzwImZ7JJx9Y,Upside down house,"44 Hồ Xuân Hương, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng, Vietnam",16.0388189,108.2448648,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20097:00\u202fPM']","['tourist_attraction', 'point_of_interest', 'establishment']",3.7,58
ChIJSRWy6Hr3QTERiU3vuI0PbHw,Ecological Tourist Zone Lai Thieu,"XX4G+F5Q, Hoà Phú, Hòa Vang, Da Nang, Vietnam",15.9562015,107.9754714,,"['rv_park', 'lodging', 'point_of_interest', 'establishment']",3.8,164
ChIJzX1dFjAZQjERswowf61V1fk,APEC Park,"365F+67X, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.0581055,108.2232435,,"['park', 'point_of_interest', 'establishment']",4.5,665
ChIJcVJkUPcXQjERsA8_dfySw5E,3D Museum Art in paradise Da Nang,"Lô 10, Trần Nhân Tông, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.0954282,108.2431088,"['Monday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:30\u202fPM']","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",4.3,1993
ChIJC--WM94dQjERanUjSb99wac,Chớm Hạ - Bánh Tráng Túy Loan,"Chợ Túy Loan, Hoà Phong, Hòa Vang, Đà Nẵng, Vietnam",15.9900211,108.1404581,,"['restaurant', 'food', 'point_of_interest', 'establishment']",5,4
ChIJ_d6A7E8XQjERSP_olhmXg6o,Galina Mud Bath & Spa Da Nang,"254 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Vietnam",16.0597734,108.2463747,,"['beauty_salon', 'point_of_interest', 'establishment']",2.5,2
ChIJwbfPdZX3QTERj8sw7f5uZPA,Hot Springs Park - Công viên Suối khoáng nóng Núi Thần Tài Đà Nẵng,"QL14G, Hoà Phú, Hòa Vang, Đà Nẵng, Vietnam",15.9678512,108.0198053,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20095:30\u202fPM']","['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",4.3,3240
ChIJK4sVPc0ZQjERdGROWQ8MMg4,Helio Center,"Tòa nhà Helio, 01 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Vietnam",16.0359504,108.2242925,"['Monday: 5:00\u2009–\u200910:00\u202fPM', 'Tuesday: 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u2009–\u200910:30\u202fPM', 'Sunday: 5:00\u2009–\u200910:30\u202fPM']","['point_of_interest', 'establishment']",4.3,2915
ChIJ82_sTbkQQjERQ5jmVkoovic,Bảo Tàng Văn Hóa Phật Giáo,"48 Sư Vạn Hạnh, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",15.9989293,108.2547934,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",4.8,8
ChIJ4TzoziwYQjER8Wp_tOG1pYA,DHC Marina,"367H+PW4, Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Vietnam",16.0642548,108.2298186,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['tourist_attraction', 'point_of_interest', 'establishment']",4.1,171
ChIJLWoAs80ZQjERLKHDYD-ZymI,Da Nang Museum of Cham Sculpture,"Số 02 Đ. 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.0603007,108.2232677,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20095:00\u202fPM']","['tourist_attraction', 'general_contractor', 'museum', 'point_of_interest', 'establishment']",4.1,5217
ChIJiVEp-zsZQjERKKgVAGERFrE,Dragon Bridge,"27 Cầu Rồng, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Vietnam",16.0611087,108.2274955,,"['tourist_attraction', 'point_of_interest', 'establishment']",4.7,36
ChIJs3ejMS8ZQjERXVFQAbfl5i0,Cầu sông Hàn,"145 Cầu Sông Hàn, An Hải Bắc, Sơn Trà, Đà Nẵng 550000, Vietnam",16.0721681,108.2274113,,"['tourist_attraction', 'point_of_interest', 'establishment']",4.9,13
ChIJp5MC_MQZQjEROAwJ8juWleA,Chân Cầu Trần Thị Lý 1,"Hòa Cường, Hải Châu District, Da Nang 550000, Vietnam",16.049417,108.2233,,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",3.4,5
ChIJY2jrw8gZQjER1dPG2ZGZemM,Cầu Thuận Phước Đà Nẵng,"36WC+24F, Cầu, Thuận Phước, Hải Châu, Đà Nẵng 550000, Vietnam",16.0950591,108.2203065,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['point_of_interest', 'establishment']",4.7,84
ChIJFeQ3IOgZQjERt_S0v8EQgi8,Đài Tưởng niệm Liệt sỹ TP Đà Nẵng,"664 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Vietnam",16.0410321,108.2243161,,"['point_of_interest', 'establishment']",4.3,3
