ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJ-6MwcJMZQjERYYvyqimq7js,Nhà Thờ Lê Văn Tộc,"39 Văn Cận, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam",16.0357425,108.2117757,,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,
ChIJ-ZF6IrEZQjERut1Y-T_3pJ4,Viện Quản Trị & Tài Chính - Vp Đà Nẵng,"242 Nguyễn Tri Phương, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0573462,108.2066908,,"['point_of_interest', 'establishment']",,
ChIJ075FHhf1QTERN0mgMqxmp0s,Tân tiến,"Tổ 3 thôn trung nghĩa, huyện, Hoà Ninh, Hòa Vang, Đà Nẵng, Vietnam",16.0482758,108.0124469,"['Monday: Open 24 hours', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']","['point_of_interest', 'establishment']",,
ChIJ0fjQ1rIZQjERFBYA1PL9CZI,Green Dragon,"K 25 Điện Biên Phủ, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.064983,108.2047977,,"['premise', 'amusement_park', 'point_of_interest', 'establishment']",,
ChIJ14q9o8gZQjERwrm5NWfWlVg,Công viên Co.Opmart,"K478 Điện Biên Phủ, Thanh Khê Đông, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0663223,108.1869999,,"['park', 'point_of_interest', 'establishment']",,
ChIJ1V23g2IZQjERb4ianIqDmVA,CLB đi bộ kiếm tiền số Stepn,"3685+8F3, K 69 Lý Thái Tổ, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0657572,108.2086728,"['Monday: 6:45\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:45\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:45\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:45\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:45\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:45\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 6:45\u202fAM\u2009–\u200910:00\u202fPM']","['park', 'point_of_interest', 'establishment']",,
ChIJ2WelwJkjQjERi66tRfSP-5o,Cà phê Phương Nguyên,"Lữ đoàn, 161 cảng tiên sa, Thọ Quang, TP, Đà Nẵng, Vietnam",16.121721,108.2193993,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,
ChIJ3VE3RBkZQjERDQVMz_I5hb4,KEN KEN,"thôn tây an, 3649+Q6P, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.056951,108.2180736,,"['park', 'point_of_interest', 'establishment']",,
ChIJ3YlzRbIZQjERojYT3_mKroY,Công Ty Cp Dv Bảo Vệ Quang Trung - Cn,"94 Nguyễn Tri Phương, Chính Gián, Q. Thanh Khê, Đà Nẵng 550000, Vietnam",16.0618221,108.2042891,,"['finance', 'point_of_interest', 'establishment']",,
ChIJ3_9W9OEeQjERL9qoGFAs0bg,Trại Cút Vườn Đồi,"Thôn An Ngãi Đông, Tp, Hoà Sơn, Hòa Vang, Đà Nẵng, Vietnam",16.0722977,108.1133716,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['store', 'point_of_interest', 'establishment']",,
ChIJ3bqEYrUZQjERYrYyp6Lxq80,Spa Triều Diễm,"111 Đ. Nguyễn Hoàng, Nam Dương, Hải Châu, Đà Nẵng 550000, Vietnam",16.0623196,108.2140215,,"['spa', 'point_of_interest', 'establishment']",,
ChIJ4YhDz-kZQjERIEAdmJv8AwI,Hồ Hòa Thuận,"26V4+H44, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",16.0438866,108.2053214,,"['park', 'point_of_interest', 'establishment']",,
ChIJ5xWJb5MZQjERrbiQd_FvRJk,Nhà thờ Lê tộc Nam Duong,"K338/54, Hoàng Diệu, Phường Nam Dương, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.0578753,108.215259,,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,
ChIJ6--gHakZQjERyso1M6Tbd3c,Góc chill bên sông hàn,"26WJ+H7, Hòa Cường, Hải Châu District, Da Nang 550000, Vietnam",16.0463764,108.2306428,,"['tourist_attraction', 'point_of_interest', 'establishment']",,
ChIJ62qjobwiQjEROeC6c66vnKs,Cửa Hàng Tạp Hóa Như Quỳnh,"1 Yết Kiêu, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.1217221,108.2193932,,"['department_store', 'point_of_interest', 'store', 'establishment']",,
ChIJ68XcF_n1QTER5F7QV_Q5Njo,cf cu lỳ,"22X6+8X8, Hòa Ninh, Hòa Vang, Da Nang, Vietnam",16.0482758,108.0124469,,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,
ChIJ6fTZzi4ZQjERB7zNaGQLETs,Mi đi mô,"30, 16/3 Đ. Trần Phú, Hải Châu 1, Hải Châu, Đà Nẵng 55000, Vietnam",16.0662321,108.2232725,,"['tourist_attraction', 'point_of_interest', 'establishment']",,
ChIJ76S3WHT1QTERrSCoVwIPjX8,Công ty than sạch không khói,"22X6+8X, Hòa Ninh, Hòa Vang, Da Nang, Vietnam",16.0482758,108.0124469,,"['point_of_interest', 'establishment']",,
ChIJ97WbU5j1QTERn9nLptP-mVA,Điền Trang Herbal,"22X6+9WQ, Hòa Ninh, Hòa Vang, Da Nang, Vietnam",16.0484691,108.0123746,,"['park', 'point_of_interest', 'establishment']",,
ChIJ97mrrvsXQjERSN9FyXY9rPo,Công ty TNHH Tư Vấn Thiết Kế Xây Dựng Viken,"15 Ng. Quyền, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.0989509,108.2462621,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u2009–\u200911:00\u202fAM', 'Sunday: Closed']","['point_of_interest', 'establishment']",,
ChIJ9_SMuyUfQjERenxZB0CW2u8,Công Ty Tnhh Tiếp Vận Vinafco,"34HH+RMR, Số 8, Hoà Khánh Bắc, Liên Chiểu, Đà Nẵng, Vietnam",16.0796044,108.1291258,,"['point_of_interest', 'establishment']",,
