ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total,Stay Time,Delay Time,Cost,Period
ChIJ-6MwcJMZQjERYYvyqimq7js,Nhà Thờ Lê Văn Tộc,"39 Văn Cận, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam",160.357.425,1.082.117.757,,"['church', 'place_of_worship']",,,30,30,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ0fjQ1rIZQjERFBYA1PL9CZI,Green Dragon,"K 25 Điện Biên Phủ, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.064.983,1.082.047.977,,"['premise', 'amusement_park']",,,30,30,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ13MshlIYQjERM4sqFu8lvyA,Ribo Coffee,"05 Thái Thị Bôi, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",160.682.715,1.082.011.952,"['Monday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u200910:30\u202fPM']","['cafe', 'food']",4.1,306,60,30,75,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ14kOf8kZQjERrdrrQPpiZKA,Mì Quảng Thi,"251 Hoàng Diệu, Nam Dương, Hải Châu, Đà Nẵng 550000, Vietnam",160.585.457,1.082.172.243,"['Monday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM']","['restaurant', 'food']",4.3,311,45,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ15vooCoZQjER0nAbGjReVXo,Quán Ăn Cô Triều Đại Lộc,"216 Âu Cơ, Hoà Khánh Bắc, Liên Chiểu, Đà Nẵng 550000, Vietnam",160.707.348,108.144.132,,"['restaurant', 'food']",,1,45,30,100,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ22t6tSYZQjER2vqQjMqhnsI,Heo Quay Ông Tỵ,"538 Trần Cao Vân, Xuân Hà, Thanh Khê, Đà Nẵng 550000, Vietnam",160.713.129,1.081.943.244,,['tourist_attraction'],5,2,45,60,150,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ23qaguI9QjER93d6QKavQns,Cây Đa Ngàn Năm,"Bán đảo, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",1.612.255,1.083.317.036,,['tourist_attraction'],4.7,317,30,30,0,"['Morning', 'Noon', 'Afternoon']"
ChIJ298PNrcZQjER7Aib8uadVds,Cà Phê Amigo,"23 Nguyễn Hữu Thọ, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",160.554.667,1.082.085.937,,"['cafe', 'food']",5,1,30,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ2WelwJkjQjERi66tRfSP-5o,Cà phê Phương Nguyên,"Lữ đoàn, 161 cảng tiên sa, Thọ Quang, TP, Đà Nẵng, Vietnam",16.121.721,1.082.193.993,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['cafe', 'store', 'food']",,,30,30,50,"['Morning', 'Noon', 'Afternoon', 'Evening']"
ChIJ2aT3UqMXQjER_rVaqCoyyWU,Chùa Linh Ứng,"Vườn Lâm Tỳ Ni, Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",161.002.615,1.082.777.474,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",['place_of_worship'],4.7,1785,60,30,0,"['Morning', 'Noon', 'Afternoon', 'Evening']"
