ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJ-3GM1TAYQjERzpji9y3rUiQ,Dana Pearl Hotel,"165L Lê Lợi, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0727028,108.2203067,,"['cafe', 'lodging', 'point_of_interest', 'store', 'food', 'establishment']",3.9,55.0
ChIJ-xnCxSsfQjERTzQmaKM8CPQ,Công ty TNHH Thương mại Tổng hợp Tuấn Việt - CN Đà Nẵng,"34FQ+W7X, Đường số 2, Hoà Khánh Bắc, Liên Chiểu, Đà Nẵng, Vietnam",16.0748531,108.1382468,"['Monday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: Closed']","['point_of_interest', 'establishment']",4.0,22.0
ChIJ03cUHGUXQjER8IECynzr7Iw,Jang House,"95 Ng. Quyền, Thọ Quang, Sơn Trà, Đà Nẵng 55000, Vietnam",16.0962201,108.2456756,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['real_estate_agency', 'point_of_interest', 'travel_agency', 'establishment']",3.8,12.0
ChIJ0Y06mLwiQjERQXHiLyHK9XE,Móc Miêu,"Thọ Quang, Sơn Trà, Da Nang, Vietnam",16.1222794,108.219273,,"['place_of_worship', 'point_of_interest', 'establishment']",4.0,1.0
ChIJ0atM70kYQjERt8DDC2MBtX4,다낭현지교회,"190 Ông Ích Khiêm, Tân Chính, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0710393,108.2129536,,"['church', 'tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",4.9,57.0
ChIJ13MshlIYQjERM4sqFu8lvyA,Ribo Coffee,"05 Thái Thị Bôi, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0682715,108.2011952,"['Monday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u200910:30\u202fPM']","['cafe', 'point_of_interest', 'food', 'establishment']",4.1,306.0
ChIJ14kOf8kZQjERrdrrQPpiZKA,Mì Quảng Thi,"251 Hoàng Diệu, Nam Dương, Hải Châu, Đà Nẵng 550000, Vietnam",16.0585457,108.2172243,"['Monday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20091:29\u202fPM, 4:00\u2009–\u20099:00\u202fPM']","['restaurant', 'point_of_interest', 'food', 'establishment']",4.3,311.0
ChIJ15vooCoZQjER0nAbGjReVXo,Quán Ăn Cô Triều Đại Lộc,"216 Âu Cơ, Hoà Khánh Bắc, Liên Chiểu, Đà Nẵng 550000, Vietnam",16.0707348,108.144132,,"['restaurant', 'point_of_interest', 'food', 'establishment']",5.0,1.0
ChIJ1QZHRbcZQjERrSuSxfM3ZgA,Phan Gia Motel,"57 Nguyễn Hữu Thọ, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",16.0544834,108.2088923,,"['lodging', 'point_of_interest', 'establishment']",3.7,9.0
ChIJ1VzgQjAYQjERXYIDc_ytASg,MEGA Co. Ltd,"78 Lê Đình Lý, Vĩnh Trung, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0562482,108.2115362,,"['point_of_interest', 'store', 'establishment']",3.0,2.0
