ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJ-6MwcJMZQjERYYvyqimq7js,Nhà Thờ Lê Văn Tộc,"39 Văn Cận, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Vietnam",16.0357425,108.2117757,,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,
ChIJ0fjQ1rIZQjERFBYA1PL9CZI,Green Dragon,"K 25 Điện Biên Phủ, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.064983,108.2047977,,"['premise', 'amusement_park', 'point_of_interest', 'establishment']",,
ChIJ14q9o8gZQjERwrm5NWfWlVg,Công viên Co.Opmart,"K478 Điện Biên Phủ, Thanh Khê Đông, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0663223,108.1869999,,"['park', 'point_of_interest', 'establishment']",,
ChIJ2WelwJkjQjERi66tRfSP-5o,Cà phê Phương Nguyên,"Lữ đoàn, 161 cảng tiên sa, Thọ Quang, TP, Đà Nẵng, Vietnam",16.121721,108.2193993,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,
ChIJ3VE3RBkZQjERDQVMz_I5hb4,KEN KEN,"thôn tây an, 3649+Q6P, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.056951,108.2180736,,"['park', 'point_of_interest', 'establishment']",,
ChIJ4YhDz-kZQjERIEAdmJv8AwI,Hồ Hòa Thuận,"26V4+H44, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",16.0438866,108.2053214,,"['park', 'point_of_interest', 'establishment']",,
ChIJ5xWJb5MZQjERrbiQd_FvRJk,Nhà thờ Lê tộc Nam Duong,"K338/54, Hoàng Diệu, Phường Nam Dương, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.0578753,108.215259,,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,
ChIJ6--gHakZQjERyso1M6Tbd3c,Góc chill bên sông hàn,"26WJ+H7, Hòa Cường, Hải Châu District, Da Nang 550000, Vietnam",16.0463764,108.2306428,,"['tourist_attraction', 'point_of_interest', 'establishment']",,
ChIJ97WbU5j1QTERn9nLptP-mVA,Điền Trang Herbal,"22X6+9WQ, Hòa Ninh, Hòa Vang, Da Nang, Vietnam",16.0484691,108.0123746,,"['park', 'point_of_interest', 'establishment']",,
ChIJAQD8jrAZQjERaQgxc2upA0E,Công Ty TNHH Vận Tải Và Thương Mại Vĩnh Thành,"32 Man Thiện, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",16.0550062,108.2056648,,"['cafe', 'food', 'point_of_interest', 'establishment']",,
ChIJB0ji5xAZQjERQK0Sn8ZRyr4,Nhà thờ tộc Võ,"3629+FJX, Hòa Thuận Đông, Hải Châu, Đà Nẵng 550000, Vietnam",16.0512417,108.2191211,,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,
ChIJBRpr56sZQjER54ftewhqToc,ホワイト ドラゴン,"37A Điện Biên Phủ, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0650874,108.2045284,,"['park', 'point_of_interest', 'establishment']",,
ChIJCSkaqgEZQjERy0NmPW_pypY,Tần Giao Đường,"Hòa Khê, Thanh Khê District, Da Nang 550000, Vietnam",16.0642519,108.1870112,,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,
ChIJD2yDYLsiQjERWdUv7Pu56MQ,"Hồng Hụê Phở Bỏ, Lẩu Bò Nam Định","Thọ Quang, Sơn Trà, Da Nang, Vietnam",16.1220889,108.2201831,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,
ChIJDazwY0gZQjER5qTVHh-thsY,Công viên Nguyễn Văn Linh,"366C+F4C, Nguyễn Văn Linh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0611915,108.2202743,,"['park', 'point_of_interest', 'establishment']",,
ChIJH4EWXqT1QTERwIw9B5mf1Y0,Nước mía Bảo Nguyên,"22X6+8X8, Hòa Ninh, Hòa Vang, Da Nang, Vietnam",16.0482758,108.0124469,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['bakery', 'point_of_interest', 'food', 'store', 'establishment']",,
ChIJJ1XiON31QTERxWI5TaFYC_A,Vietnam Fishing Farm,"22X6+8X8, Hòa Ninh, Hòa Vang, Da Nang, Vietnam",16.0482758,108.0124469,,"['park', 'point_of_interest', 'establishment']",,
ChIJLTyqmVAjQjERpdMZc87f3o8,Bún Chả Hà Nội,"1 Yết Kiêu, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.1218026,108.2193427,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,
ChIJLYD4pucZQjER_ol_HxeelhQ,Sun World Asia Park,"1 Phan Đăng Lưu, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Vietnam",16.0402596,108.2266311,,"['amusement_park', 'premise', 'point_of_interest', 'establishment']",,
ChIJLeCFK_UZQjERj-5n5upvl1g,"Nhà thờ tộc Nguyễn, phái nhất Xuân hà chi nhất","439 Điện Biên Phủ, Hòa Khê, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0655842,108.1880443,,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,
ChIJM_x8QrAZQjERhWR0uIkXfW4,Hồ Hải Châu,"K48 Phan Châu Trinh, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0672279,108.2194787,,"['park', 'point_of_interest', 'establishment']",,
ChIJQVGko7wiQjERbWO_0jt8sfA,Quán Ăn Thiên Kim,"1 Yết Kiêu, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.1217221,108.2193932,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,
ChIJQzsobvkZQjERND1pAdW-1oo,Cà phê chim K69 Yến,"K 69 Lý Thái Tổ, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0655938,108.2085581,,"['park', 'point_of_interest', 'establishment']",,
ChIJS-wc8HMZQjER8nGFOiFoXmk,Vườn rau Bác Hồ,"26W9+G38, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",16.0462945,108.2176884,,"['park', 'point_of_interest', 'establishment']",,
ChIJS0W_PlEZQjERNocT1rjxDB4,Bạch đằng,"64 Thi Sách, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",16.0540721,108.2054827,,"['tourist_attraction', 'point_of_interest', 'establishment']",,
ChIJSQbmJ7siQjERFwswTbCCE18,Quán Ut Lan,"Thọ Quang, Sơn Trà, Da Nang, Vietnam",16.1211719,108.2228539,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,
ChIJT_s-n7wiQjERu4J4JnqHlMg,Quán 02 Cảng Tiên Sa,"1 Yết Kiêu, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.1217221,108.2193932,,"['food', 'point_of_interest', 'establishment']",,
ChIJTdA1XgQZQjERbaa4Rc1FoOQ,Từ Đường Phan Tấn Lộc,"356J+4JX, Lê Thị Tính, Hòa Khê, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0603549,108.1816044,,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",,
ChIJUXHKobwiQjERYE04vLpB7WM,Quán Ăn Hoàng Dung,"1 Yết Kiêu, Thọ Quang, Sơn Trà, Đà Nẵng, Vietnam",16.1217221,108.2193932,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,
ChIJXeu-ecX1QTERUMNJW2h_jXw,Thảo Nguyên Xanh Farm,"Thôn 1, Hòa Vang, Đà Nẵng 550000, Vietnam",16.056394,108.042292,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",,
ChIJ_ZnpIjMYQjERA9TfxGiIYD8,Nhà Hàng Lê Ben,"126 Yên Bái, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0648101,108.2222519,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,
