ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJtVsuOdsZQjERelakzsqyQyo,Grand Mercure Danang,"Lot A1, Zone Of The Villas Of Green Island, Hòa Cường, Hải Châu, Đà Nẵng 550000, Vietnam",16.0483415,108.2267041,,"['lodging', 'point_of_interest', 'establishment']",4.6,2572
ChIJRYjrnzQYQjEREPETMC25_qg,Pacific Hotel,"92 Phan Châu Trinh, Street, Hải Châu, Đà Nẵng 550000, Vietnam",16.0657195,108.2199161,,"['lodging', 'point_of_interest', 'establishment']",3.6,198
ChIJY3QYS88ZQjERyxMhbywP-Lg,Gold Hotel Da Nang,"24 Núi Thành, Hòa Thuận Đông, Hải Châu, Đà Nẵng 550000, Vietnam",16.0539436,108.2201004,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,289
ChIJb2wOY8sZQjERiUcaYt-GT_I,Xuan Hung Hotel,"56 Phan Châu Trinh, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0672681,108.2201214,,"['lodging', 'point_of_interest', 'establishment']",3.3,71
ChIJ43t3JMcZQjERu4cf8lA75mk,Khách sạn Eden Plaza Đà Nẵng,"05, 07 Duy Tân, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",16.0483905,108.2164463,,"['bar', 'spa', 'lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",4,1122
ChIJu7rVaDIYQjERin9i1pZWOCE,Sun River Hotel,"132, 134-136 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.067425,108.224725,,"['lodging', 'point_of_interest', 'establishment']",4.1,451
ChIJj_e8l8sZQjERJtsjuUdBoDk,White Snow Hotel,"5-6 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng 550000, Vietnam",16.0605774,108.2185875,"['Monday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u202fAM\u2009–\u200911:00\u202fPM']","['lodging', 'point_of_interest', 'establishment']",3.8,311
ChIJSRHNYzIYQjERyqgy_wxG-7Y,Brilliant Hotel,"162 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0667352,108.2246568,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",4.3,1704
ChIJISuvVcsZQjERhnOk-O_w9pI,Moonlight DaNang Hotel,"136, 138 – 140 Phan Châu Trinh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0638028,108.2196298,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",3.8,512
ChIJdZsHAkoYQjER9tHLms7dmVI,Iris Hotel,"181, 183 Đ. Lê Duẩn, Hải Châu 2, Hải Châu, Đà Nẵng 550000, Vietnam",16.07007549999999,108.2138671,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",4,246
ChIJSz7MQ8sZQjER7C6nPWVk_UA,Golden Beach Hotel,"109 Hoàng Văn Thụ, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0629635,108.218955,,"['lodging', 'point_of_interest', 'establishment']",3.7,34
ChIJ-UBpozMYQjERDV3V1nrXEiM,Vinapha 2 Hotel,"19 Phạm Hồng Thái, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0673508,108.2217765,"['Monday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Tuesday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Wednesday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Thursday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Friday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Saturday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Sunday: 12:00\u202fAM\u2009–\u200911:59\u202fPM']","['lodging', 'point_of_interest', 'establishment']",3,93
ChIJqUSEHDMYQjERso5xmrgdgH0,Dai a Hotel,"51 Yên Bái, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.066131,108.222685,,"['lodging', 'point_of_interest', 'establishment']",3.8,242
ChIJU1LFNzIYQjERy0iTTLoLR7c,Mayana Hotel,"40 Nguyễn Thái Học, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.068191,108.223502,"['Monday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 1:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 1:00\u202fAM\u2009–\u200912:00\u202fAM']","['lodging', 'point_of_interest', 'establishment']",3.7,180
ChIJybANfzMYQjER3THMpSZICa8,Sanouva Danang Hotel,"68 Phan Châu Trinh, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.06697519999999,108.2200454,,"['gym', 'spa', 'lodging', 'health', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,1442
ChIJ2eRrZDIYQjERIDh0k-METDk,Hoang Linh Hotel,"142 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0671793,108.2247516,,"['lodging', 'point_of_interest', 'establishment']",3.7,174
ChIJj1wfpTQYQjERyAwSp1WRPpg,Orange Hotel Danang,"29 Hoàng Diệu, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0650129,108.2194786,"['Monday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Tuesday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Wednesday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Thursday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Friday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Saturday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: 12:00\u202fAM\u2009–\u200912:00\u202fPM']","['lodging', 'point_of_interest', 'establishment']",4.2,198
ChIJzdmTxe8ZQjERbvAggIAHQLc,Minh Toan Galaxy Hotel,"306 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000, Vietnam",16.0442346,108.2227286,"['Monday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Tuesday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Wednesday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Thursday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Friday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Saturday: 12:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: 12:00\u202fAM\u2009–\u200912:00\u202fPM']","['lodging', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,1820
ChIJWVl1NFUYQjERl2v9iNV-6F8,Khách Sạn Đại Long,"190 -192 -194 Hà Huy Tập, Hòa Khê, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0623766,108.1917233,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",4.1,170
ChIJ598PYTIYQjERyESkAkbGE2c,Happy Day Hotel,"160 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0667959,108.2246663,"['Monday: 6:00\u202fAM\u2009–\u200911:50\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200911:50\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200911:50\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200911:50\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200911:50\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u200911:50\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u200911:50\u202fPM']","['lodging', 'point_of_interest', 'establishment']",3.7,425
ChIJJZ1hfzEYQjERvlxA5abck6E,Fulmar Hotel,"11 Yên Bái, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0697077,108.2228726,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",3.8,109
ChIJmWQfNkwYQjERwIzqBrWE6sQ,Apollo Hostel,"377 Hải Phòng, Tân Chính, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0701092,108.2061936,,"['lodging', 'point_of_interest', 'establishment']",3.6,61
ChIJMy-mQjIYQjERRrzYoziQtfc,Paradise Hotel,"1 Phạm Phú Thứ, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0672539,108.2245597,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",3.8,38
ChIJUddRjUoYQjERKmqv9Qnyujs,Louis Hotel,"121 Hùng Vương, Hải Châu 2, Hải Châu, Đà Nẵng 550000, Vietnam",16.067859,108.2173772,,"['lodging', 'point_of_interest', 'establishment']",3.9,98
ChIJry2FgMMZQjER1GnPPv03FYU,Brown Bean Hotel,"380 Đ. 2 Tháng 9, Hoà Cường Bắc, Hải Châu, Đà Nẵng, Vietnam",16.0385547,108.2233731,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",3.9,279
ChIJu0XSwlEYQjERcpf5Oh-ZvKQ,Waikiki Hotel,"625 Nguyễn Tất Thành, Xuân Hà, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0730246,108.2014084,,"['lodging', 'point_of_interest', 'establishment']",3.6,59
ChIJyzjoRtMZQjERSALaMyZDqK8,Danang Riverside Hotel,"Lô, Đà Nẵng Riverside, A30 Đ. Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng 550000, Vietnam",16.0624711,108.230396,,"['lodging', 'point_of_interest', 'establishment']",3.9,684
ChIJwdFELs0ZQjERjFqh4sLgiPk,SenRiver Hotel,"238 Đường Bạch Đằng, Street, Hải Châu, Đà Nẵng 550000, Vietnam",16.0634798,108.2236939,,"['lodging', 'point_of_interest', 'establishment']",4.2,68
ChIJD0R5P8sZQjER_nZgGVVRagk,SPOT ON 670 Zion Motel,"121 Hoàng Văn Thụ, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0626391,108.2186137,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",3.6,63
ChIJPVLCZzIYQjERfFoH2A6LIA0,One Star Hotel,"3 Phạm Phú Thứ, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0672541,108.2245584,,"['lodging', 'point_of_interest', 'establishment']",4.1,44
ChIJkToVUDMYQjER-ZFawI7x_ow,Nhật Linh Hotel,"194 Nguyễn Chí Thanh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0645969,108.2204652,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['restaurant', 'lodging', 'food', 'point_of_interest', 'establishment']",4.1,378
ChIJa3dDoTQYQjERIX7-BPgt6-U,Thanh Tien Hotel,"38 Hoàng Diệu, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0655376,108.2194196,,"['lodging', 'point_of_interest', 'establishment']",3.9,32
ChIJpVpNgLgZQjERjh1kYwE5rQ8,Nibika Hotel,"418 Nguyễn Tri Phương, Hòa Thuận Đông, Hải Châu, Đà Nẵng 550000, Vietnam",16.05241,108.2102764,,"['lodging', 'point_of_interest', 'establishment']",3.7,130
ChIJZ4VHdDQYQjERpZjbKRvqo14,Thu Do Hotel,"125 -127 Hùng Vương, Hải Châu 2, Hải Châu, Đà Nẵng 550000, Vietnam",16.0677255,108.217317,,"['lodging', 'point_of_interest', 'establishment']",3.7,75
ChIJ-3wY7lEYQjERrJ9wTeoa-WQ,Blue Summer Hotel,"35 Tôn Thất Đạm, Xuân Hà, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0720623,108.2013925,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",3.9,42
ChIJm-yAmTQYQjER2ymVQcz7RzQ,An Nam Hotel,"11A Trần Bình Trọng, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0660526,108.2194068,,"['lodging', 'point_of_interest', 'establishment']",4,64
ChIJM560Qk0YQjERJDvIocFeEIw,Nice Hotel,"16 Võ Văn Tần, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0672779,108.2045311,,"['lodging', 'point_of_interest', 'establishment']",3.5,25
ChIJ83pD6zIYQjER8vaMlNiRGPk,The Pump Hostel,"200 Bạch Đằng, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.06558339999999,108.2242507,,"['lodging', 'point_of_interest', 'establishment']",5,2
ChIJK8zax7kZQjERCiWaW3KLyns,Bamboo Hotel,"418 Nguyễn Tri Phương, Hòa Thuận Nam, Hải Châu, Đà Nẵng 550000, Vietnam",16.0524158,108.2101211,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",4,114
ChIJBa6tzjIYQjERYUANyQkdLDU,Hotel Rainbow,"220 Bạch Đằng, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0645389,108.2239685,,"['lodging', 'point_of_interest', 'establishment']",3.7,111
ChIJBz4sPgAZQjERCgABB_4OgLQ,Hòa Mỹ,"411 Điện Biên Phủ, Hòa Khê, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0655344,108.1889257,,"['lodging', 'point_of_interest', 'establishment']",3.8,54
ChIJY5Fbi7UZQjERbXnfnxJJqVs,Oc Tien Sa Hotel,"163 Đ. Nguyễn Hoàng, Nam Dương, Hải Châu, Đà Nẵng 550000, Vietnam",16.0607395,108.2138061,,"['lodging', 'point_of_interest', 'establishment']",3.8,116
ChIJdQhCA80ZQjERpJ_mZwZ0-vQ,Green Plaza,"238 Bạch Đằng, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0635161,108.2237119,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",4,923
ChIJX0GThjoYQjERN_SngxhSgb0,Song Thu Hotel,"30 Đ. Trần Phú, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.074429,108.2235242,,"['lodging', 'point_of_interest', 'establishment']",3.5,129
ChIJnTLrFbEZQjERC9kFIjNn-Yc,Delistay,"466, 21 Nguyễn Tri Phương, Thạc Gián, Hải Châu, Đà Nẵng 550000, Vietnam",16.0580041,108.2065346,,"['lodging', 'point_of_interest', 'establishment']",,
ChIJWdFJgEwYQjER-KtBpvLT14s,My friends hostel,"402/19 Đ. Lê Duẩn, Tân Chính, Thanh Khê, Đà Nẵng 550000, Vietnam",16.067881,108.208003,,"['lodging', 'point_of_interest', 'establishment']",5,2
ChIJf9vsi1IYQjERjL-k7por5Yo,Jenvet Hotel & Apartment,"11 Thái Thị Bôi, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.0683455,108.2009664,,"['lodging', 'point_of_interest', 'establishment']",5,4
ChIJte5HZVIYQjERtCrIMui6CIs,Voi Con,"K77, 52 Lê Độ, Chính Gián, Thanh Khê, Đà Nẵng 550000, Vietnam",16.069228,108.201375,,"['lodging', 'point_of_interest', 'establishment']",,
ChIJzXv66zIYQjERVMBsPtBAerU,Pariat Hotel & Apartment,"202, 204 Bạch Đằng, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0654286,108.2240243,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",3.9,564
ChIJ4WkoLcwZQjERD2oweApPljM,Refresh Apartment,"K46, 14 Đ. 2 Tháng 9, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",16.0588209,108.2229148,,"['lodging', 'point_of_interest', 'establishment']",,
ChIJPSdAA80ZQjERq8vLnRkFG7E,Bamboo Green,"177 Đ. Trần Phú, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0664047,108.2237978,,"['lodging', 'point_of_interest', 'establishment']",3.5,310
ChIJN_5H4EYYQjERL1vGf-FmQVw,Thanh Binh Trade Union Hotel,"2 Ông Ích Khiêm, Thanh Bình, Hải Châu, Đà Nẵng 550000, Vietnam",16.0797081,108.2111794,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['travel_agency', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,746
