ID,Name,Address,Latitude,Longitude,Opening Hours,Types,Rating,User Ratings Total
ChIJtVsuOdsZQjERelakzsqyQyo,Grand Mercure Danang,"Lot A1, Zone Of The Villas Of Green Island, Hòa Cường, Hải Châu, Đà Nẵng 550000, Vietnam",16.0483415,108.2267041,,"['lodging', 'point_of_interest', 'establishment']",4.6,2572.0
ChIJRYjrnzQYQjEREPETMC25_qg,Pacific Hotel,"92 Phan Châu Trinh, Street, Hải Châu, Đà Nẵng 550000, Vietnam",16.0657195,108.2199161,,"['lodging', 'point_of_interest', 'establishment']",3.6,198.0
ChIJY3QYS88ZQjERyxMhbywP-Lg,Gold Hotel Da Nang,"24 Núi Thành, Hòa Thuận Đông, Hải Châu, Đà Nẵng 550000, Vietnam",16.0539436,108.2201004,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,289.0
ChIJb2wOY8sZQjERiUcaYt-GT_I,Xuan Hung Hotel,"56 Phan Châu Trinh, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0672681,108.2201214,,"['lodging', 'point_of_interest', 'establishment']",3.3,71.0
ChIJu7rVaDIYQjERin9i1pZWOCE,Sun River Hotel,"132, 134-136 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.067425,108.224725,,"['lodging', 'point_of_interest', 'establishment']",4.1,451.0
ChIJj_e8l8sZQjERJtsjuUdBoDk,White Snow Hotel,"5-6 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng 550000, Vietnam",16.0605774,108.2185875,"['Monday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u202fAM\u2009–\u200911:00\u202fPM']","['lodging', 'point_of_interest', 'establishment']",3.8,311.0
ChIJSRHNYzIYQjERyqgy_wxG-7Y,Brilliant Hotel,"162 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0667352,108.2246568,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",4.3,1704.0
ChIJISuvVcsZQjERhnOk-O_w9pI,Moonlight DaNang Hotel,"136, 138 – 140 Phan Châu Trinh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0638028,108.2196298,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,512.0
ChIJdZsHAkoYQjER9tHLms7dmVI,Iris Hotel,"181, 183 Đ. Lê Duẩn, Hải Châu 2, Hải Châu, Đà Nẵng 550000, Vietnam",16.07007549999999,108.2138671,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","['lodging', 'point_of_interest', 'establishment']",4.0,246.0
ChIJSz7MQ8sZQjER7C6nPWVk_UA,Golden Beach Hotel,"109 Hoàng Văn Thụ, Phước Ninh, Hải Châu, Đà Nẵng 550000, Vietnam",16.0629635,108.218955,,"['lodging', 'point_of_interest', 'establishment']",3.7,34.0
ChIJ-UBpozMYQjERDV3V1nrXEiM,Vinapha 2 Hotel,"19 Phạm Hồng Thái, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",16.0673508,108.2217765,"['Monday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Tuesday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Wednesday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Thursday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Friday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Saturday: 12:00\u202fAM\u2009–\u200911:59\u202fPM', 'Sunday: 12:00\u202fAM\u2009–\u200911:59\u202fPM']","['lodging', 'point_of_interest', 'establishment']",3.0,93.0
