ID,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ChIJ-3wY7lEYQjERrJ9wTeoa-WQ,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM
ChIJ-UBpozMYQjERDV3V1nrXEiM,12:00 AM 11:59 PM,12:00 AM 11:59 PM,12:00 AM 11:59 PM,12:00 AM 11:59 PM,12:00 AM 11:59 PM,12:00 AM 11:59 PM,12:00 AM 11:59 PM
ChIJ13MshlIYQjERM4sqFu8lvyA,6:30 AM 10:30 PM,6:30 AM 10:30 PM,6:30 AM 10:30 PM,6:30 AM 10:30 PM,6:30 AM 10:30 PM,6:30 AM 10:30 PM,6:30 AM 10:30 PM
ChIJ14kOf8kZQjERrdrrQPpiZKA,"6:00 AM 1:29 PM, 4:00 9:00 PM","6:00 AM 1:29 PM, 4:00 9:00 PM","6:00 AM 1:29 PM, 4:00 9:00 PM","6:00 AM 1:29 PM, 4:00 9:00 PM","6:00 AM 1:29 PM, 4:00 9:00 PM","6:00 AM 1:29 PM, 4:00 9:00 PM","6:00 AM 1:29 PM, 4:00 9:00 PM"
ChIJ2aT3UqMXQjER_rVaqCoyyWU,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM
ChIJ2beCscEZQjER1eMQXxVlJZg,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM
ChIJ2eRrZDIYQjERIDh0k-METDk,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM,6:00 AM 9:00 PM
ChIJ2y5L4dQNQjERxeSLc68fbrw,7:00 AM 5:00 PM,7:00 AM 5:00 PM,7:00 AM 5:00 PM,7:00 AM 5:00 PM,7:00 AM 5:00 PM,7:00 AM 5:00 PM,7:00 AM 5:00 PM
ChIJ4TzoziwYQjER8Wp_tOG1pYA,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM
ChIJ4w7694IXQjERrFXucqKL--o,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM,00:00 AM  11:59 PM
